study,endpoint,population,age,category_age,duration,category_duration,men_ratio,category_men_ratio,type_exercise,bsln,bsln_adjusted,category_bsln,N_HIIE,Mean_HIIE,SD_HIIE,N_MICT,Mean_MICT,SD_MICT,HIIE,desired_effect
Gillen 2016,Body Fat,Healthy,27.5,< 30 y,12,> 10 weeks,1,> 0.5,Cycling,28.5,26.5,BMI 25 - 30 kg/m²,9,-2.0,4.2190046219458,10,-2,5.47722557505166,SIT,decrease
Gillen 2016,Body Mass,Healthy,27.5,< 30 y,12,> 10 weeks,1,> 0.5,Cycling,84.0,26.5,BMI 25 - 30 kg/m²,9,-1.0,12.36122971229,10,-2,10.9544511501033,SIT,decrease
Gillen 2016,Fasting Glucose,Healthy,27.5,< 30 y,12,> 10 weeks,1,> 0.5,Cycling,5.15,5.15,< 5.6 mmol/L,9,0.4,0.66932802122726,10,0.4,0.475394572960188,SIT,decrease
Gillen 2016,Fasting Insulin,Healthy,27.5,< 30 y,12,> 10 weeks,1,> 0.5,Cycling,68.061,68.061,> 40 pmol/L,9,-1.7,2.82116997006561,10,-1.7,3.63730669589464,SIT,decrease
Gillen 2016,HOMA-IR,Healthy,27.5,< 30 y,12,> 10 weeks,1,> 0.5,Cycling,2.25,2.25,< 3,9,-0.2,0.692820323027551,10,-0.1,1.1216059914248,SIT,decrease
Gillen 2016,VO2max,Healthy,27.5,< 30 y,12,> 10 weeks,1,> 0.5,Cycling,31.545,5.372763409663,< 30%,9,5.19,5.02634857525819,10,6.88,3.30318028572465,SIT,increase
Gorostiaga 1991,Body Mass,Healthy,27.0,< 30 y,8,5 - 10 weeks,0.25,< 0.5,Cycling,74.6,22.0,BMI < 25 kg/m²,6,-2.7,8.28130424510536,6,0.299999999999997,12.814835153056,SIT,decrease
Gorostiaga 1991,VO2max,Healthy,27.0,< 30 y,8,5 - 10 weeks,0.25,< 0.5,Cycling,36.5,42.5901523352721,30 - 60%,6,5.90000000000001,2.35074456289917,6,2.7,2.06688170924221,SIT,increase
Granata 2015,Body Mass,Healthy,21.0,< 30 y,4,< 5 weeks,0.5,< 0.5,Cycling,80.7,24.65,BMI < 25 kg/m²,11,-0.200000000000003,7.43720377561352,9,-0.700000000000003,5.8637871721269,HIIT,decrease
Granata 2015,Body Mass,Healthy,21.0,< 30 y,4,< 5 weeks,0.5,< 0.5,Cycling,80.7,24.65,BMI < 25 kg/m²,9,0.299999999999997,10.3456270955414,9,-0.700000000000003,5.8637871721269,SIT,decrease
Grieco 2013,BMI,Healthy,22.0,< 30 y,4,< 5 weeks,0.5,< 0.5,Cycling,25.1,25.1,BMI 25 - 30 kg/m²,12,0.0999999999999979,1.94679223339318,10,-0.100000000000001,3.83405790253616,HIIT,decrease
Grieco 2013,Body Fat,Healthy,22.0,< 30 y,4,< 5 weeks,0.5,< 0.5,Cycling,18.5,25.1,BMI 25 - 30 kg/m²,12,1.6,6.43086308359928,10,-0.699999999999999,6.47085774839781,HIIT,decrease
