endpoint,population,category_age,category_duration,type_exercise,Mean_HIIE,Mean_MICT,desired_effect
HDL,Healthy,30 - 50 y,< 5 weeks,Cycling,-0.2,-0.1,increase
LDL,Healthy,30 - 50 y,< 5 weeks,Cycling,-0.6,-0.2,decrease
Total Cholesterol,Healthy,30 - 50 y,< 5 weeks,Cycling,-0.7,-0.3,decrease
Triglycerides,Healthy,30 - 50 y,< 5 weeks,Cycling,-0.05,-0.16,decrease
VO2max,Healthy,30 - 50 y,< 5 weeks,Cycling,2,1,increase
BMI,Healthy,< 30 y,5 - 10 weeks,Cycling,-0.2,-0.3,decrease
Body Fat,Healthy,< 30 y,5 - 10 weeks,Cycling,-1.2,-0.9,decrease
Body Mass,Healthy,< 30 y,5 - 10 weeks,Cycling,-0.5,-0.9,decrease
C-reactive Protein,Healthy,< 30 y,5 - 10 weeks,Cycling,0.32,-1.15,decrease
HDL,Healthy,< 30 y,5 - 10 weeks,Cycling,1.5,-0.7,increase
LDL,Healthy,< 30 y,5 - 10 weeks,Cycling,7,0.8,decrease
Total Cholesterol,Healthy,< 30 y,5 - 10 weeks,Cycling,-2,2,decrease
Triglycerides,Healthy,< 30 y,5 - 10 weeks,Cycling,-7,7,decrease
VO2max,Healthy,< 30 y,5 - 10 weeks,Cycling,2.8,3.5,increase
BMI,Healthy,< 30 y,> 10 weeks,Cycling,-1.5,-1.7,decrease
Body Fat,Healthy,< 30 y,> 10 weeks,Cycling,-1.9,-1.7,decrease
Body Mass,Healthy,< 30 y,> 10 weeks,Cycling,-3.9,-4.2,decrease
VO2max,Healthy,< 30 y,> 10 weeks,Cycling,4.1,3.8,increase
VO2max,Healthy,< 30 y,5 - 10 weeks,Cycling,0.28,0.29,increase
Body Fat,Metabolic Syndrome,> 50 y,> 10 weeks,Running,-0.5,-0.4,decrease
Body Mass,Metabolic Syndrome,> 50 y,> 10 weeks,Running,-1,-1,decrease
Diastolic Blood Pressure,Metabolic Syndrome,> 50 y,> 10 weeks,Running,-4,-5,decrease
Fasting Glucose,Metabolic Syndrome,> 50 y,> 10 weeks,Running,0.1,-0.4,decrease
Fasting Insulin,Metabolic Syndrome,> 50 y,> 10 weeks,Running,-15,-25,decrease
HbA1c,Metabolic Syndrome,> 50 y,> 10 weeks,Running,0.2,-1.2,decrease
HDL,Metabolic Syndrome,> 50 y,> 10 weeks,Running,0.08,0.08,increase
HOMA-IR,Metabolic Syndrome,> 50 y,> 10 weeks,Running,-0.3,-0.5,decrease
Systolic Blood Pressure,Metabolic Syndrome,> 50 y,> 10 weeks,Running,-2,-7,decrease
Triglycerides,Metabolic Syndrome,> 50 y,> 10 weeks,Running,-0.13,-0.11,decrease
VO2max,Metabolic Syndrome,> 50 y,> 10 weeks,Running,3.6,0.8,increase
BMI,Metabolic Syndrome,> 50 y,> 10 weeks,Running,-1,0,decrease
Body Fat,Metabolic Syndrome,> 50 y,> 10 weeks,Running,-1.02,-0.42,decrease
Body Mass,Metabolic Syndrome,> 50 y,> 10 weeks,Running,-3,0,decrease
Diastolic Blood Pressure,Metabolic Syndrome,> 50 y,> 10 weeks,Running,-9,-6,decrease
Fasting Glucose,Metabolic Syndrome,> 50 y,> 10 weeks,Running,-0.17,-0.37,decrease
HDL,Metabolic Syndrome,> 50 y,> 10 weeks,Running,0,0.03,increase
LDL,Metabolic Syndrome,> 50 y,> 10 weeks,Running,0.41,0.06,decrease
Systolic Blood Pressure,Metabolic Syndrome,> 50 y,> 10 weeks,Running,-1,-9,decrease
Total Cholesterol,Metabolic Syndrome,> 50 y,> 10 weeks,Running,0.42,0,decrease
