endpoint,population,category_age,duration,category_duration,men_ratio,category_men_ratio,type_exercise,Mean_HIIE,Mean_MICT
VO2max,Healthy,30 - 50 y,2,< 5 weeks,1,> 0.5,Cycling,2,1
BMI,T2D,30 - 50 y,2,< 5 weeks,1,> 0.5,Cycling,-0.1,0
Body Fat,T2D,30 - 50 y,2,< 5 weeks,1,> 0.5,Cycling,-1.1,-0.5
Body Mass,T2D,30 - 50 y,2,< 5 weeks,1,> 0.5,Cycling,-0.2,-0.1
Diastolic Blood Pressure,T2D,30 - 50 y,2,< 5 weeks,1,> 0.5,Cycling,-6,-5
Fasting Glucose,T2D,30 - 50 y,2,< 5 weeks,1,> 0.5,Cycling,-0.3,0.2
Fasting Insulin,T2D,30 - 50 y,2,< 5 weeks,1,> 0.5,Cycling,-0.9,-1
HbA1c,T2D,30 - 50 y,2,< 5 weeks,1,> 0.5,Cycling,-2.2,-1.7
HDL,T2D,30 - 50 y,2,< 5 weeks,1,> 0.5,Cycling,-0.2,-0.1
LDL,T2D,30 - 50 y,2,< 5 weeks,1,> 0.5,Cycling,-0.2,-0.2
Systolic Blood Pressure,T2D,30 - 50 y,2,< 5 weeks,1,> 0.5,Cycling,-2,-9
Total Cholesterol,T2D,30 - 50 y,2,< 5 weeks,1,> 0.5,Cycling,-0.5,-0.2
Triglycerides,T2D,30 - 50 y,2,< 5 weeks,1,> 0.5,Cycling,-0.2,-0.2
VO2max,T2D,30 - 50 y,2,< 5 weeks,1,> 0.5,Cycling,1.9,-0.9
C-reactive Protein,Healthy,< 30 y,2,< 5 weeks,0.5,< 0.5,Cycling,-0.03183,-0.16
HOMA-IR,Healthy,< 30 y,2,< 5 weeks,0.5,< 0.5,Cycling,-0.53,0.01
BMI,Metabolic Syndrome,> 50 y,8,5 - 10 weeks,0.53,> 0.5,Running,-0.3,-0.5
Body Mass,Metabolic Syndrome,> 50 y,8,5 - 10 weeks,0.53,> 0.5,Running,-0.8,-1.1
Diastolic Blood Pressure,Metabolic Syndrome,> 50 y,8,5 - 10 weeks,0.53,> 0.5,Running,-7.1,-7.8
Fasting Glucose,Metabolic Syndrome,> 50 y,8,5 - 10 weeks,0.53,> 0.5,Running,-0.7,-0.8
Flow-mediated Dilation,Metabolic Syndrome,> 50 y,8,5 - 10 weeks,0.53,> 0.5,Running,6.1,2.9
HDL,Metabolic Syndrome,> 50 y,8,5 - 10 weeks,0.53,> 0.5,Running,1.4,3.1
LDL,Metabolic Syndrome,> 50 y,8,5 - 10 weeks,0.53,> 0.5,Running,-5.9,-3.2
Systolic Blood Pressure,Metabolic Syndrome,> 50 y,8,5 - 10 weeks,0.53,> 0.5,Running,-9.4,-10.6
Total Cholesterol,Metabolic Syndrome,> 50 y,8,5 - 10 weeks,0.53,> 0.5,Running,-25,-7
Triglycerides,Metabolic Syndrome,> 50 y,8,5 - 10 weeks,0.53,> 0.5,Running,-30.6,-15.4
Body Fat,Overweight/obese,30 - 50 y,12,> 10 weeks,0.22727273,< 0.5,Cycling,-0.5,-1
Body Mass,Overweight/obese,30 - 50 y,12,> 10 weeks,0.22727273,< 0.5,Cycling,0.2,-0.8
C-reactive Protein,Overweight/obese,30 - 50 y,12,> 10 weeks,0.22727273,< 0.5,Cycling,0.2,-1.1
Diastolic Blood Pressure,Overweight/obese,30 - 50 y,12,> 10 weeks,0.22727273,< 0.5,Cycling,-2.9,-3.5
Fasting Glucose,Overweight/obese,30 - 50 y,12,> 10 weeks,0.22727273,< 0.5,Cycling,-0.1,0.1
Fasting Insulin,Overweight/obese,30 - 50 y,12,> 10 weeks,0.22727273,< 0.5,Cycling,-0.6,-0.7
HDL,Overweight/obese,30 - 50 y,12,> 10 weeks,0.22727273,< 0.5,Cycling,0,0
LDL,Overweight/obese,30 - 50 y,12,> 10 weeks,0.22727273,< 0.5,Cycling,0,0.3
Systolic Blood Pressure,Overweight/obese,30 - 50 y,12,> 10 weeks,0.22727273,< 0.5,Cycling,-5.6,-4.3
Total Cholesterol,Overweight/obese,30 - 50 y,12,> 10 weeks,0.22727273,< 0.5,Cycling,0,0.2
Triglycerides,Overweight/obese,30 - 50 y,12,> 10 weeks,0.22727273,< 0.5,Cycling,0,-0.1
VO2max,Overweight/obese,30 - 50 y,12,> 10 weeks,0.22727273,< 0.5,Cycling,5.1,4.3
Diastolic Blood Pressure,Cardiac Rehabilitation,> 50 y,10,5 - 10 weeks,0.82820513,> 0.5,Running,-7,0
Systolic Blood Pressure,Cardiac Rehabilitation,> 50 y,10,5 - 10 weeks,0.82820513,> 0.5,Running,-9,2
VO2max,Cardiac Rehabilitation,> 50 y,10,5 - 10 weeks,0.82820513,> 0.5,Running,3.6,1.7
C-reactive Protein,Cardiac Rehabilitation,> 50 y,6,5 - 10 weeks,0.78571429,> 0.5,Running,-1.14,-1.72
HDL,Cardiac Rehabilitation,> 50 y,6,5 - 10 weeks,0.78571429,> 0.5,Running,0,-0.07
LDL,Cardiac Rehabilitation,> 50 y,6,5 - 10 weeks,0.78571429,> 0.5,Running,-46.57,-30.64
Total Cholesterol,Cardiac Rehabilitation,> 50 y,6,5 - 10 weeks,0.78571429,> 0.5,Running,-45.67,-26.752
Triglycerides,Cardiac Rehabilitation,> 50 y,6,5 - 10 weeks,0.78571429,> 0.5,Running,4.5,19.79
VO2max,Cardiac Rehabilitation,> 50 y,6,5 - 10 weeks,0.78571429,> 0.5,Running,6.46,2.47
Body Mass,Healthy,> 50 y,2,< 5 weeks,0,< 0.5,Cycling,-0.3,0
Diastolic Blood Pressure,Healthy,> 50 y,2,< 5 weeks,0,< 0.5,Cycling,-2,-3
Flow-mediated Dilation,Healthy,> 50 y,2,< 5 weeks,0,< 0.5,Cycling,-1.6,-1.9
Systolic Blood Pressure,Healthy,> 50 y,2,< 5 weeks,0,< 0.5,Cycling,-7,-2
VO2max,Healthy,> 50 y,2,< 5 weeks,0,< 0.5,Cycling,2.2,1.7
Fasting Glucose,Healthy,< 30 y,5,< 5 weeks,1,> 0.5,Running,2.43,-0.98
BMI,Overweight/obese,30 - 50 y,12,> 10 weeks,0.44444444,< 0.5,Running,0,-0.1
BMI,Overweight/obese,30 - 50 y,12,> 10 weeks,0.44444444,< 0.5,Running,-0.1,-0.1
Body Fat,Overweight/obese,30 - 50 y,12,> 10 weeks,0.44444444,< 0.5,Running,-0.5,-0.5
Body Fat,Overweight/obese,30 - 50 y,12,> 10 weeks,0.44444444,< 0.5,Running,-1.1,-0.5
Diastolic Blood Pressure,Overweight/obese,30 - 50 y,12,> 10 weeks,0.44444444,< 0.5,Running,-3.4,-1.9
Diastolic Blood Pressure,Overweight/obese,30 - 50 y,12,> 10 weeks,0.44444444,< 0.5,Running,-5.4,-1.9
HDL,Overweight/obese,30 - 50 y,12,> 10 weeks,0.44444444,< 0.5,Running,-1,-2
